gene	target_id	sample_group	rows	unique_samples	good_samples	median_percent_covered	median_mean_depth	max_mean_depth
nifH	nifH|NC_002678|NC_002678_-_Symbiosis_Island_3|ref52	No	366	366	83	58.7249	31.9866	7370.3747
nifH	nifH|NC_002678|NC_002678_-_Symbiosis_Island_3|ref52	Rh	372	372	40	43.1208	14.2215	5576.8568
nifH	nifH|NC_002678|NC_002678_-_Symbiosis_Island_3|ref52	Ro	366	366	36	44.0156	3.3132	5327.4832
nifH	nifH|NC_007777|NC_007777_-_Symbiosis_Island|ref53	BLAN	12	12	1	32.6968	1.0827	1686.9537
nifH	nifH|NC_007777|NC_007777_-_Symbiosis_Island|ref53	No	366	366	33	26.0996	1.3837	5610.8611
nifH	nifH|NC_007777|NC_007777_-_Symbiosis_Island|ref53	Rh	372	372	13	21.9907	1.0636	1278.7396
nifH	nifH|NC_007777|NC_007777_-_Symbiosis_Island|ref53	Ro	366	366	6	20.6598	0.7003	1288.7025
nifH	nifH|NC_008278|NC_008278_-_Symbiosis_Island|ref54	BLAN	12	12	3	70.3125	7.1760	7061.3762
nifH	nifH|NC_008278|NC_008278_-_Symbiosis_Island|ref54	No	366	366	139	93.5764	8.2326	7939.4491
nifH	nifH|NC_008278|NC_008278_-_Symbiosis_Island|ref54	Rh	372	372	87	76.0417	4.6123	4633.0451
nifH	nifH|NC_008278|NC_008278_-_Symbiosis_Island|ref54	Ro	366	366	80	76.6204	4.1395	6681.1238
nifH	nifH|NC_009937|NC_009937_-_Symbiosis_Island_3|ref55	BLAN	12	12	4	77.6655	33.6605	308.4826
