gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation
nifD	iupac	Mixed-IUPAC	site	BONA	6	0.308	0.3084	0.0066	0.508	0.751327731092437	0.1687	0.1789	0.2233	0.407	0.5468091603053434	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	LENO	28	0.3017	0.2943	-0.2808	0.616	0.8592125984251968	0.0567	0.1015	3.2329	0.001	0.004292682926829269	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	UNDE	7	0.3193	0.3035	-0.2881	0.617	0.8592125984251968	0.1017	0.1674	1.6924	0.044	0.09928205128205128	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	HEAL	17	0.3064	0.2963	-0.3103	0.638	0.8704496124031008	0.0955	0.1185	1.1338	0.13	0.22653465346534654	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	HARV	7	0.3137	0.2951	-0.3576	0.667	0.8961221374045802	0.1664	0.1585	-0.1978	0.611	0.7339319727891156	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	BLAN	12	0.3648	0.3063	-1.5206	0.936	1	0.0789	0.1357	2.1777	0.014	0.0385	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	CLBJ	92	0.3204	0.3057	-1.1131	0.857	1	0.0565	0.0701	2.6904	0.004	0.01353846153846154	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	DEJU	54	0.3572	0.3037	-3.1356	0.998	1	0.0754	0.0826	0.9108	0.173	0.2927692307692307	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	GUAN	10	0.3489	0.2959	-1.3005	0.897	1	0.1461	0.1417	-0.1483	0.572	0.6991111111111111	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	ORNL	21	0.3379	0.2986	-1.2825	0.903	1	0.1119	0.1132	0.0779	0.48	0.6166423357664234	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	SCBI	24	0.366	0.3028	-2.2692	0.984	1	0.1316	0.1089	-1.4362	0.917	0.9275402298850576	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	SERC	7	0.3546	0.3033	-0.9429	0.835	1	0.1772	0.165	-0.3172	0.635	0.7536107382550337	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	SJER	10	0.452	0.3018	-3.3406	0.999	1	0.0873	0.1456	1.9676	0.023	0.059529411764705886	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	state	Arizona	54	0.0595	0.2969	13.5906	0.001	0.005	0.0089	0.0817	8.6436	0.001	0.0044444444444444444	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	state	Florida	134	0.2508	0.294	4.013	0.001	0.005	0.052	0.063	2.8491	0.001	0.0044444444444444444	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	state	Georgia	271	0.2606	0.2939	4.3435	0.001	0.005	0.0443	0.0501	2.7036	0.005	0.016666666666666666	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	state	ND	77	0.1961	0.3004	6.9178	0.001	0.005	0.0322	0.076	7.1871	0.001	0.0044444444444444444	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	state	New Mexico	12	0.0955	0.2997	5.2672	0.001	0.005	0.0354	0.1355	4.0767	0.001	0.0044444444444444444	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	state	OK	112	0.2146	0.3025	7.3146	0.001	0.005	0.0322	0.0678	8.0058	0.001	0.0044444444444444444	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	state	Fl / FL	112	0.262	0.2948	2.6962	0.004	0.015	0.0615	0.066	0.9794	0.173	0.3145454545454545	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	state	KS	53	0.259	0.2984	2.0751	0.014	0.04540540540540541	0.0483	0.0849	4.3208	0.001	0.0044444444444444444	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	state	CO	31	0.2675	0.2955	1.1974	0.114	0.26307692307692304	0.0668	0.0974	2.3772	0.005	0.016666666666666666	significant clustering by MNTD
